 2016-02-09 20:35:05,107 [P25972/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.5 application starting on CRAIG
 2016-02-09 20:35:05,124 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-02-09 20:35:05,129 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 5ms)
 2016-02-09 20:35:05,199 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-02-09 20:35:05,332 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 132ms)
 2016-02-09 20:35:05,339 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-02-09 20:35:05,341 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2016-02-09 20:35:05,341 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-02-09 20:35:05,343 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 2ms)
 2016-02-09 20:35:05,351 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-02-09 20:35:05,353 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 2ms)
 2016-02-09 20:35:05,353 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-02-09 20:35:05,355 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 1ms)
 2016-02-09 20:35:05,372 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-02-09 20:35:05,374 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 2ms)
 2016-02-09 20:35:05,374 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-02-09 20:35:05,376 [P25972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 1ms)
 2016-02-09 20:35:05,700 [P25972/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-02-09 20:35:05,820 [P25972/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-02-09 20:35:05,836 [P25972/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-02-09 20:35:05,860 [P25972/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-02-09 20:35:05,867 [P25972/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-02-09 20:35:05,912 [P25972/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-02-09 20:35:05,916 [P25972/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 847ms)
 2016-02-09 20:35:06,160 [P25972/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:3159/umbraco (UmbracoModule request)
 2016-02-09 20:35:06,259 [P25972/D2/T10] INFO  umbraco.content - Load Xml from file...
 2016-02-09 20:35:06,268 [P25972/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2016-02-09 20:35:06,444 [P25972/D2/T10] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-02-09 20:35:07,535 [P25972/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-02-09 20:35:07,539 [P25972/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 3ms)
 2016-02-09 20:35:07,846 [P25972/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-02-09 20:35:07,854 [P25972/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 7ms)
 2016-02-09 20:35:20,610 [P25972/D2/T5] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-02-09 20:35:28,778 [P25972/D2/T5] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username base33@aol.com from IP address ::1
 2016-02-09 20:35:28,779 [P25972/D2/T5] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: base33@aol.com logged in from IP address ::1
 2016-02-09 20:35:28,896 [P25972/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-02-09 20:35:28,898 [P25972/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 2ms)
 2016-02-09 20:35:28,932 [P25972/D2/T5] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-02-09 20:35:28,938 [P25972/D2/T5] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 5ms)
 2016-02-09 20:35:28,940 [P25972/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-02-09 20:35:28,947 [P25972/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 7ms)
 2016-02-09 20:35:28,948 [P25972/D2/T5] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-02-09 20:35:28,948 [P25972/D2/T5] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-02-09 20:35:28,949 [P25972/D2/T5] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-02-09 20:35:28,956 [P25972/D2/T5] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 6ms)
 2016-02-09 20:35:35,719 [P25972/D2/T16] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-02-09 20:35:54,382 [P25972/D2/T17] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-02-09 20:36:06,545 [P25972/D2/T15] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-02-08 20:36:06
 2016-02-09 20:36:08,971 [P25972/D2/T15] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-02-09 20:36:22,677 [P25972/D2/T15] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-02-09 20:36:26,828 [P25972/D2/T17] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-02-09 20:36:26,837 [P25972/D2/T17] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 9ms)
 2016-02-09 20:36:27,250 [P25972/D2/T17] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-02-09 20:36:36,493 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Content' with Id '0' has been published.
 2016-02-09 20:36:40,566 [P25972/D2/T11] INFO  umbraco.content - Save Xml to file...
 2016-02-09 20:36:40,576 [P25972/D2/T15] INFO  umbraco.content - Saved Xml to file.
 2016-02-09 20:36:46,700 [P25972/D2/T23] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Learn' with Id '1064' has been published.
 2016-02-09 20:36:46,814 [P25972/D2/T23] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'The starter kit' with Id '1065' has been published.
 2016-02-09 20:36:46,877 [P25972/D2/T23] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Basics' with Id '1066' has been published.
 2016-02-09 20:36:46,948 [P25972/D2/T23] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Masterclasses' with Id '1067' has been published.
 2016-02-09 20:36:50,986 [P25972/D2/T22] INFO  umbraco.content - Save Xml to file...
 2016-02-09 20:36:51,005 [P25972/D2/T15] INFO  umbraco.content - Saved Xml to file.
 2016-02-09 20:36:55,550 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Patients' with Id '3083' has been published.
 2016-02-09 20:36:55,902 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Tammy Little' with Id '3084' has been published.
 2016-02-09 20:36:55,975 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Billy Johnston' with Id '3085' has been published.
 2016-02-09 20:36:56,048 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Sean Henry' with Id '3086' has been published.
 2016-02-09 20:36:56,104 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Louis Thompson' with Id '3087' has been published.
 2016-02-09 20:36:56,180 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Christopher Rice' with Id '3088' has been published.
 2016-02-09 20:36:56,262 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Jose Jones' with Id '3089' has been published.
 2016-02-09 20:36:56,317 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Deborah Roberts' with Id '3090' has been published.
 2016-02-09 20:36:56,395 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Jose Washington' with Id '3091' has been published.
 2016-02-09 20:36:56,452 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Victor Hayes' with Id '3092' has been published.
 2016-02-09 20:36:56,537 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Katherine Ferguson' with Id '3093' has been published.
 2016-02-09 20:36:56,599 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Sean Hunt' with Id '3094' has been published.
 2016-02-09 20:36:56,662 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Anne Hill' with Id '3095' has been published.
 2016-02-09 20:36:56,721 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Betty Ellis' with Id '3096' has been published.
 2016-02-09 20:36:56,797 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Lois Adams' with Id '3097' has been published.
 2016-02-09 20:36:56,861 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Jack Harrison' with Id '3098' has been published.
 2016-02-09 20:36:56,913 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Terry Jackson' with Id '3099' has been published.
 2016-02-09 20:36:56,985 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Eugene Harris' with Id '3100' has been published.
 2016-02-09 20:36:57,053 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Karen King' with Id '3101' has been published.
 2016-02-09 20:36:57,116 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Robert Cunningham' with Id '3102' has been published.
 2016-02-09 20:36:57,183 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Julie Duncan' with Id '3103' has been published.
 2016-02-09 20:36:57,251 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Frank Harper' with Id '3104' has been published.
 2016-02-09 20:36:57,308 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Margaret Lewis' with Id '3105' has been published.
 2016-02-09 20:36:57,386 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Norma Perez' with Id '3106' has been published.
 2016-02-09 20:36:57,464 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Brenda Anderson' with Id '3107' has been published.
 2016-02-09 20:36:57,527 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Raymond Hansen' with Id '3108' has been published.
 2016-02-09 20:36:57,595 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Kelly Gonzalez' with Id '3109' has been published.
 2016-02-09 20:36:57,668 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Bonnie Olson' with Id '3110' has been published.
 2016-02-09 20:36:57,737 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Henry Warren' with Id '3111' has been published.
 2016-02-09 20:36:57,802 [P25972/D2/T19] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Patrick Burke' with Id '3112' has been published.
